dataset,file,outcome,method,cost_cents,time_s,verified,dest
Calcite,325,INCONCLUSIVE,exhausted,0.0,9.2,,
Calcite,308,INCONCLUSIVE,exhausted,1.646,150.1,,
Calcite,324,INCONCLUSIVE,unprovable-unverified,0.263,18.2,,
Calcite,326,INCONCLUSIVE,exhausted,0.0,8.3,,
Calcite,32,PROVED,sql_equiv,0.0,18.1,yes(safe),Bench/Calcite/Proven/32.lean
Calcite,328,INCONCLUSIVE,exhausted,0.0,8.3,,
Calcite,33,INCONCLUSIVE,exhausted,0.0,7.6,,
Calcite,329,PROVED,sql_equiv,0.0,7.0,yes,Bench/Calcite/Proven/329.lean
Calcite,330,INCONCLUSIVE,exhausted,0.0,9.7,,
Calcite,331,INCONCLUSIVE,exhausted,0.0,8.3,,
Calcite,300,INCONCLUSIVE,exhausted,2.2834,198.1,,
Calcite,332,INCONCLUSIVE,exhausted,0.0,9.6,,
Calcite,333,PROVED,sql_equiv,0.0,4.6,yes,Bench/Calcite/Proven/333.lean
Calcite,334,INCONCLUSIVE,exhausted,0.0,12.3,,
Calcite,335,INCONCLUSIVE,exhausted,0.0,10.9,,
Calcite,338,INCONCLUSIVE,exhausted,0.0,8.4,,
Calcite,336,PROVED,sql_equiv,0.0,6.2,yes(safe),Bench/Calcite/Proven/336.lean
Calcite,327,INCONCLUSIVE,exhausted,0.2165,44.1,,
Calcite,34,INCONCLUSIVE,exhausted,0.0,6.6,,
Calcite,337,INCONCLUSIVE,unprovable-unverified,0.3645,21.5,,
Calcite,340,INCONCLUSIVE,exhausted,0.0,10.1,,
Calcite,341,PROVED,sql_equiv,0.0,5.3,yes,Bench/Calcite/Proven/341.lean
Calcite,339,PROVED,llm,0.2435,17.0,yes,Bench/Calcite/Proven/339.lean
Calcite,343,INCONCLUSIVE,exhausted,0.0,7.8,,
Calcite,345,INCONCLUSIVE,exhausted,0.0,7.7,,
Calcite,344,PROVED,sql_equiv,0.0,4.5,yes,Bench/Calcite/Proven/344.lean
Calcite,346,INCONCLUSIVE,exhausted,0.0,9.1,,
Calcite,342,INCONCLUSIVE,exhausted,0.227,20.1,,
Calcite,348,INCONCLUSIVE,exhausted,0.0,6.2,,
Calcite,349,INCONCLUSIVE,exhausted,0.0,11.4,,
Calcite,35,PROVED,sql_equiv,0.0,4.6,yes,Bench/Calcite/Proven/35.lean
Calcite,350,INCONCLUSIVE,exhausted,0.0,8.6,,
Calcite,351,INCONCLUSIVE,exhausted,0.0,6.5,,
Calcite,322,ELAB_ERROR,,0.0,103.2,,
